All device pins and their pinmux options
Pin,Name, Selected Mode, Used By,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,GPIO11,GPIO11,PS1,GPIO11,EPWM6_B,SCIB_RX,OUTPUTXBAR7,GPIO11,EQEP1_B,SCIB_RX,SD4_D1,GPIO11,,ESC_GPO3,ESC_TX0_DATA1,GPIO11,FSIRXB_CLK,FSIRXA_D1,PMBUSA_ALERT
2,GPIO100,GPIO100,ENC_A,GPIO100,SPIA_PICO,EMIF1_BA1,EPWM9_A,GPIO100,EQEP2_A,SPIC_PICO,SD4_C4,GPIO100,SD1_D1,ESC_GPI0,FSIRXD_D1,GPIO100,FSITXA_D0,EMIF1_D24,
3,GPIO12,GPIO12,PS2,GPIO12,EPWM7_A,CLB_OUTPUTXBAR6,ADCSOCAO,GPIO12,EQEP1_STROBE,SCIA_TX,SD4_C2,GPIO12,EMIF1_A1,ESC_GPO4,ESC_TX0_DATA2,GPIO12,FSIRXC_D0,FSIRXA_D0,PMBUSA_CTL
4,GPIO13,GPIO13,PS3,GPIO13,EPWM7_B,CLB_OUTPUTXBAR7,EQEP5_STROBE,GPIO13,EQEP1_INDEX,SCIA_RX,SD4_D2,GPIO13,EMIF1_CS0n,ESC_GPO5,ESC_TX0_DATA3,GPIO13,FSIRXC_D1,FSIRXA_CLK,PMBUSA_SDA
5,GPIO14,GPIO14,PS4,GPIO14,EPWM8_A,SCIB_TX,EQEP5_INDEX,GPIO14,LINA_TX,OUTPUTXBAR3,OUTPUTXBAR8,GPIO14,,ESC_GPO6,ESC_PHY1_LINKSTATUS,GPIO14,FSIRXC_CLK,EMIF1_D17,PMBUSA_SCL
6,GPIO15,GPIO15,PS5,GPIO15,EPWM8_B,SCIB_RX,,GPIO15,LINA_RX,OUTPUTXBAR4,CLB_OUTPUTXBAR8,GPIO15,,ESC_GPO7,EQEP5_A,GPIO15,FSIRXD_D0,,EMIF1_DQM2
7,VDDIO,VDDIO,VDDIO
8,VDD,VDD,VDD
9,C0/ GPIO199,C0_GPIO199,myANALOGPinMux0,GPIO199,EQEP1_STROBE,EPWM17_A,SCIB_TX,GPIO199,EPWM12_A,SPIB_CLK,SD1_D4,GPIO199,MCANA_TX,EMIF1_RAS,,GPIO199,,SPIC_CLK,
10,C1/ GPIO200,C1_GPIO200,myANALOGPinMux0,GPIO200,EQEP1_INDEX,EPWM17_B,SCIB_RX,GPIO200,EPWM12_B,SPIB_PTE,SD1_C4,GPIO200,MCANA_RX,EMIF1_CAS,ESC_TX1_DATA1,GPIO200,,SPIC_PTE,
11,C6/ GPIO203,C6_GPIO203,myANALOGPinMux0,GPIO203,OUTPUTXBAR3,EQEP2_INDEX,SPIA_POCI,GPIO203,OUTPUTXBAR3,SPIB_CLK,SD3_D1,GPIO203,PMBUSA_ALERT,EMIF1_DQM2,ESC_MDIO_CLK,GPIO203,EPWM14_A,FSITXA_D0,EPWM8_B
12,C5/ GPIO204,C5_GPIO204,myANALOGPinMux0,GPIO204,OUTPUTXBAR4,EQEP2_STROBE,SPIA_CLK,GPIO204,OUTPUTXBAR4,SPIB_PTE,SD2_C2,GPIO204,PMBUSA_CTL,EMIF1_DQM3,ESC_MDIO_DATA,GPIO204,EPWM14_B,FSITXA_CLK,SD1_D3
13,C4/ GPIO205,C4_GPIO205,myANALOGPinMux0,GPIO205,EQEP1_INDEX,EPWM10_A,SPIA_PTE,GPIO205,,,,GPIO205,,,OUTPUTXBAR1,GPIO205,,,SD1_C3
14,C3/ GPIO206,C3_GPIO206,myANALOGPinMux0,GPIO206,EMIF1_A11,EPWM10_B,EMIF1_WEn,GPIO206,,,,GPIO206,,,OUTPUTXBAR2,GPIO206,,ESC_PHY_CLK,ESC_LED_STATE_RUN
15,C2,,,AIO237,,,,,,,,,,,,,,,
16,VREFLOA/ VREFLOC,VREFLOA/ VREFLOC,VREFLOA/ VREFLOC
17,VSSA,VSSA,VSSA
18,VDDA,VDDA,VDDA
19,VREFHIA/ VREFHIC,VREFHIA/ VREFHIC,VREFHIA/ VREFHIC
20,A5,,,AIO232,,,,,,,,,,,,,,,
21,A4,,,AIO231,,,,,,,,,,,,,,,
22,A3,,,AIO230,,,,,,,,,,,,,,,
23,A2,,,AIO229,,,,,,,,,,,,,,,
24,A1,,,AIO228,,,,,,,,,,,,,,,
25,A0/DACA_OUT,,,AIO227,,,,,,,,,,,,,,,
26,A14/B14/C14,,,AIO225,,,,,,,,,,,,,,,
27,A15/B15/C15,,,AIO226,,,,,,,,,,,,,,,
28,B0/VDAC,,,AIO233,,,,,,,,,,,,,,,
29,B1/DACC_OUT,,,AIO234,,,,,,,,,,,,,,,
30,B2,,,AIO235,,,,,,,,,,,,,,,
31,B3,,,AIO236,,,,,,,,,,,,,,,
32,VREFLOB,VREFLOB,VREFLOB
33,VSSA,VSSA,VSSA
34,VREFHIB,VREFHIB,VREFHIB
35,VDDA,VDDA,VDDA
36,B6/ GPIO207,B6_GPIO207,myANALOGPinMux0,GPIO207,EQEP2_A,EPWM11_A,EXTSYNCOUT,GPIO207,CANA_TX,SD4_D1,SCIA_RX,GPIO207,LINA_RX,I2CB_SCL,OUTPUTXBAR3,GPIO207,,ESC_RX1_CLK,PMBUSA_ALERT
37,B7/ GPIO208,B7_GPIO208,myANALOGPinMux0,GPIO208,EQEP2_B,EPWM11_B,EMIF1_D13,GPIO208,SPIB_PICO,SD4_C1,SCIA_TX,GPIO208,,,OUTPUTXBAR4,GPIO208,,ESC_RX1_DV,PMBUSA_CTL
38,A6/ GPIO209,A6_GPIO209,myANALOGPinMux0,GPIO209,EQEP2_STROBE,EPWM12_A,EMIF1_D14,GPIO209,SPIB_POCI,SD4_D2,EPWM12_B,GPIO209,,LINB_RX,OUTPUTXBAR5,GPIO209,,ESC_RX1_ERR,PMBUSA_SDA
39,A10/ GPIO213,A10_GPIO213,myANALOGPinMux0,GPIO213,EQEP6_STROBE,EPWM8_A,,GPIO213,,SD4_D4,,GPIO213,,LINB_TX,,GPIO213,,ESC_LED_ERR,
